trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-76.25055024230215,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,4,-67.05200132366527,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-76.80099118248465,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-111.81361019373114,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-156.66927928489324,"{0: 18, 1: 1, 2: 6, 3: 4, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-128.27146337527032,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-59.727099378012696,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-47.677274720611884,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,3,-166.63057475162526,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 3}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-151.54750482985997,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,19,2.0335772649400345,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,13,12.909185166421617,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-28.51051941561057,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,8,16.32762011945091,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-190.51471270961994,"{0: 21, 1: 2, 2: 1, 3: 2, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,16,21.465684165313476,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,31.91336138525273,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-21.860370981325868,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,6,-20.50166567805802,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-39.01423126992369,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 0}",25,12,-18.977349267926822,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0.5, 'e': 0}",30,23,14.091756488108373,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': 0}",20,0,30.05677061566262,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 0}",25,14,20.24436976280729,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 0}",20,6,-18.284687184650082,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0.5, 'e': 0}",25,17,13.185855035848952,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': 0}",30,21,15.6827603586354,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': 0}",30,8,37.83218937706241,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 0}",20,5,22.78243270856795,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 0}",25,4,26.479049758049026,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
