trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 1.0}",30,0,-183.9370907121341,"{0: 20, 1: 0, 2: 5, 3: 2, 4: 3}",0
2,False,"{'a': 0.001, 'e': 0.999000499833375}",30,0,-178.15863826435856,"{0: 11, 1: 11, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.001, 'e': 0.9980019986673331}",20,0,-69.09482943979744,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.001, 'e': 0.997004495503373}",25,0,-168.4455506883358,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
5,False,"{'a': 0.001, 'e': 0.9960079893439915}",20,0,-76.42376930864565,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.001, 'e': 0.9950124791926823}",20,0,-70.17339419618719,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
7,False,"{'a': 0.001, 'e': 0.9940179640539353}",25,0,-153.23643078114367,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.001, 'e': 0.9930244429332351}",30,0,-153.06377804039866,"{0: 17, 1: 3, 2: 6, 3: 3, 4: 1}",0
9,False,"{'a': 0.001, 'e': 0.9920319148370607}",25,0,-192.3798254918945,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
10,False,"{'a': 0.001, 'e': 0.9910403787728836}",20,0,-67.05808018459895,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.001, 'e': 0.9900498337491681}",25,0,-129.4360532095443,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.001, 'e': 0.9890602787753687}",20,0,-142.20176672698204,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.001, 'e': 0.9880717128619305}",20,0,-133.23916133850446,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
14,False,"{'a': 0.001, 'e': 0.9870841350202876}",20,0,-122.69458657661238,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
15,False,"{'a': 0.001, 'e': 0.9860975442628619}",30,0,-148.76043121520743,"{0: 15, 1: 9, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.001, 'e': 0.9851119396030626}",25,0,-278.17810685511915,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 5}",0
