trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",35,0,-256.68479489893645,"{0: 22, 1: 0, 2: 6, 3: 3, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-185.58674301197777,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-81.34560575348786,"{0: 10, 1: 5, 2: 3, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,0,-343.2040852610971,"{0: 16, 1: 6, 2: 6, 3: 1, 4: 6}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-105.12144836101845,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-93.43416636932311,"{0: 8, 1: 4, 2: 8, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-47.90922745333009,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-130.88982178293884,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-102.82076168044206,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-280.58868943618944,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 5}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-29.27582509260536,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-151.56163609446247,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,9,-37.810537230701655,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-127.3059348913726,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-81.64061189637657,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-94.6689281471307,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-157.84862919134892,"{0: 10, 1: 4, 2: 9, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-94.70512893407823,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,7,-13.599042772768517,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-139.11881883975101,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 0}",20,0,-153.34232980124648,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 0}",25,0,-152.91534426056583,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 0}",20,2,-141.01052092832018,"{0: 7, 1: 0, 2: 9, 3: 1, 4: 1}",1
4,True,"{'a': 0.5, 'e': 0}",30,1,-163.661483643414,"{0: 19, 1: 1, 2: 6, 3: 0, 4: 3}",1
5,True,"{'a': 0.5, 'e': 0}",25,0,-174.41617941142067,"{0: 15, 1: 0, 2: 5, 3: 3, 4: 2}",0
6,True,"{'a': 0.5, 'e': 0}",30,0,-217.6281041434927,"{0: 14, 1: 5, 2: 7, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 0}",30,0,-211.81156696466397,"{0: 16, 1: 2, 2: 9, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 0}",20,2,-165.37579448224244,"{0: 8, 1: 3, 2: 4, 3: 0, 4: 3}",1
9,True,"{'a': 0.5, 'e': 0}",20,0,-77.98291387256671,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 0}",25,0,-49.381322798975916,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
